TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,U.AL.,EA,EB-B,EKA,PH,POSI,PSE-EE/PSOE,PLAZANDREOK,EAJ-PNV / EA,PKD,FEI-FE 2000,ARALAR,FRENTE.ESPAÑOL,ATTKA/PACMA,EB-IU/ IND/ARALAR,IND. ABANTO-ZIER. 03,IND. 1 AÑANA 03,IND. 2 AÑANA 03,IND. 1 OKONDO 03,IND. 2 OKONDO 03,IND. 1 VALDEGOVIA 03,IND. 2 VALDEGOVIA 03,IND. ARMIÑON 03,IND. ARRAIA-MAEZ. 03,IND. ASPARRENA 03,IND. BARRUNDIA 03,IND. BERANTEVILLA 03,IND. 1 IRUÑA OKA 03,IND. 2 IRUÑA OKA 03,IND. LABASTIDA 03,IND. 1 LAGRAN 03,IND. 2 LAGRAN 03,IND. LAPUEBLA  03,IND. LEGUTIO 03,IND. PEÑACERRADA 03,IND. RIBERA ALTA 03,IND. RIBERA BAJA 03,IND. AGURAIN 03,IND. ALONSOTEGI 03,IND. ARRIGORRIAGA 03,IND. 1 ETXEBARRI 03,IND. 2 ETXEBARRI 03,IND. GORLIZ 03,IND. LAUKIZ 03,IND. ORDUÑA 03,IND. PLENTZIA 03,IND. SESTAO 03,IND. SOPELANA 03,IND. ABADIÑO 03,IND. AMOREBIETA 03,IND. ARANTZAZU 03,IND. AREATZA 03,IND. BEDIA 03,IND. DURANGO 03,IND. GARAI 03,IND. IGORRE 03,IND. IZURTZA 03,IND. OTXANDIO 03,IND. ZALDIBAR 03,IND. AMOROTO 03,IND. AULESTI 03,IND. BERRIATUA 03,IND. BUSTURIA 03,IND. ERRIGOITI 03,IND. GATIKA 03,IND. GAUT.ARTEAGA 03,IND. GIZABURUAGA 03,IND. MUNDAKA 03,IND. MUNITIBAR 03,IND. MURUETA 03,IND. 1 BALMASEDA 03,IND. 2 BALMASEDA 03,IND. KARRANTZA 03,IND. SOPUERTA 03,IND. AZKOITIA 03,IND. DEBA 03,IND. 1 ERREZIL 03,IND. 2 ERREZIL 03,IND. EZKIO-ITSASO 03,IND. 1 GABIRIA 03,IND. 2 GABIRIA 03,IND. MUTILOA 03,IND. ORMAIZTEGI 03,IND. ZERAIN 03,IND. ZESTOA 03,IND. ESKORIATZA 03,IND. LEINTZ-GATZ. 03,IND. MENDARO 03,IND. SORALUCE 03,IND. ADUNA 03,IND. HONDARRIBIA 03,IND. IRUN 03,IND. ABALTZISKETA 03,IND. ALBIZTUR 03,IND. ALEGIA 03,IND. ALKIZA 03,IND. ALTZAGA 03,IND. 1 AMEZKETA 03,IND. 2 AMEZKETA 03,IND. ARAMA 03,IND. ATAUN 03,IND. BALIARRAIN 03,IND. 1 BELAUNTZA 03,IND. 2 BELAUNTZA 03,IND. 1 BERROBI 03,IND. 2 BERROBI 03,IND. 3 BERROBI 03,IND. GAINTZA 03,IND. 1 GAZTELU 03,IND. 2 GAZTELU 03,IND. LARRAUL 03,IND. OLABERRIA 03,IND. OREXA 03
Bizkaia,VALLE DE TRÁPAGA-TRAPAGARAN,,80,2,10961,7875,559,7316,78,7238,3086,,493,,,700,,,,3544,,2501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,VILLABONA,,75,3,4630,3147,842,2305,38,2267,1483,,198,,,164,,,,251,,1654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,VILLABUENA DE ÁLAVA/ESKUERNAGA,,57,2,294,249,41,208,5,203,45,,47,0,,,,,,32,,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,VITORIA-GASTEIZ,,59,1,185853,131759,6298,125461,1687,123774,54094,,38222,5667,,10058,,553,,30033,,36855,,54,2283,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,YÉCORA/IEKORA,,60,2,226,187,1,186,4,182,39,79,77,0,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ZALDIBAR,,95,3,2438,1656,273,1384,26,1358,782,,,,,58,,,,365,,784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ZALDIBIA,,78,3,1268,992,434,558,10,548,276,,26,,,,,,,12,,,,,510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ZALDUONDO,,61,2,124,112,4,108,15,93,12,81,2,1,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ZALLA,,96,2,6709,5290,248,5042,47,4995,1419,,312,,,288,,,,758,,3486,,,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ZAMBRANA,,62,2,331,263,3,260,1,259,68,,94,0,,,,,,15,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ZAMUDIO,,905,4,2695,1995,320,1675,32,1643,700,1085,187,,64,112,,,,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ZARATAMO,,97,3,1383,1069,155,914,25,889,314,338,51,,366,46,,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ZARAUTZ,,79,4,17582,12720,1931,10789,197,10592,4862,,1317,,,717,,,,1658,,6900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ZEANURI,,24,3,1041,858,15,844,10,834,183,512,12,,307,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ZEBERIO,,25,3,870,700,208,493,18,475,170,455,12,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ZEGAMA,,25,3,1119,910,231,679,4,675,209,,14,,,,,,,,,661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ZERAIN,,26,3,220,196,2,194,2,192,24,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ZESTOA,,27,4,2612,2031,16,2015,33,1982,581,,34,,,,,,,48,,1123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,777,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ZIERBENA,,913,2,1084,854,173,681,19,662,230,,42,,,45,,,,101,,474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ZIGOITIA,,18,2,1140,840,200,640,20,620,300,,107,7,,37,,,,94,,375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ZIZURKIL,,28,3,2358,1558,472,1086,36,1050,800,,130,,,,,,,200,,720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ZUIA,,63,2,1650,1320,184,1136,22,1114,330,,265,17,,38,,,,107,,687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ZUMAIA,,81,4,7092,4865,49,4816,56,4760,2227,,289,,,337,,,,700,,2383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1051,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ZUMARRAGA,,80,3,8693,6226,718,5508,85,5423,2467,,516,,,373,,,,2347,,2187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
