TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PSE-PSOE,HB,EE,EKA,LKI-LCR,PCE-EPK,A.I.LL.,UCD,ESEI,PSOE(H),ORT,UFV,EMK-OIC,IRE,C.I.,PTE,IND. ALEGRIA-DUL. 79,IND. AMURRIO 79,IND. ARAMAIO 79,IND. ARTZINIEGA 79,IND. 1 ASPARRENA 79,IND. 2 ASPARRENA 79,IND. AIARA 79,IND. KUARTANGO 79,IND. ELCIEGO 79,IND. ELVILLAR 79,IND. 1 IRUÑA OKA 79,IND. 2 IRUÑA OKA 79,IND. LABASTIDA 79,IND. LAGUARDA 79,IND. LAUDIO 79,IND. MOREDA 79,IND. OKONDO 79,IND. 1 OION 79,IND. 2 OION 79,IND. RIBERA BAJA 79,IND. AÑANA 79,IND. 1 AGURAIN 79,IND. 2 AGURAIN 79,IND. VALDEGOVIA 79,IND. HARANA 79,IND. 1 VITORIA-G. 79,IND. 2 VITORIA-G. 79,IND. 1 ZALDUONDO 79,IND. 2 ZALDUONDO 79,IND. ZUIA 79,IND. ABADIÑO 79,IND. ABANTO-ZIER. 79,IND. AMOROTO 79,IND. ARAKALDO 79,IND. ARANTZAZU 79,IND. MUNITIBAR 79,IND. ARCENTALES 79,IND. AREATZA 79,IND. ARRIETA 79,IND. ARRIGORRIAGA 79,IND. ATXONDO 79,IND. AULESTI 79,IND. BALMASEDA 79,IND. BARAKALDO 79,IND. BEDIA 79,IND. BERANGO 79,IND. MUNGIA 79,IND. BERRIZ 79,IND. KARRANTZA 79,IND. ZEANURI 79,IND. EA 79,IND. ETXEBARRIA 79,IND. ELORRIO 79,IND. 1 EREÑO 79,IND. ERMUA 79,IND. GALDAKAO 79,IND. GALDAMES 79,IND. GAMIZ-FIKA 79,IND. GARAI 79,IND. GATIKA 79,IND. GAUT.ARTEAGA 79,IND. GERNIKA -LUM 79,IND. GORDEXOLA 79,IND. GIZABURUAGA 79,IND. ISPASTER 79,IND. IZURTZA 79,IND. LANESTOSA 79,IND. LARRABETZU 79,IND. LAUKIZ 79,IND. LEIOA 79,IND. LEKEITIO 79,IND. LEMOA 79,IND .LEMOIZ 79,IND. LEZAMA 79,IND. MALLABIA 79,IND. MAÑARIA 79,IND. MARKINA 79,IND. MENDEXA 79,IND. UGAO-MIRAV. 79,IND. MUSKIZ 79,IND. ORDUÑA 79,IND. OROZKO 79,IND. ORTUELLA 79,IND. OTXANDIO 79,IND. ERRIGOITI 79,IND. SOPELANA 79,IND. SOPUERTA 79,IND. TURTZIOZ 79,IND. UBIDE 79,IND. 1 ZALDIBAR.79,IND. 1 ZARATAMO 79,IND. 2 ZARATAMO 79,IND. ZEBERIO 79,IND. ABALTZISKETA 79,IND. ADUNA 79,IND. AIZARNAZABAL 79,IND. ALBIZTUR 79,IND. ALEGIA 79,IND. ALKIZA 79,IND. ALTZO 79,IND. AMEZKETA 79,IND. ANOETA 79,IND. ANTZUOLA 79,IND. ARAMA 79,IND. ARRASATE 79,IND. ASTEASU 79,IND. AZKOITIA 79,IND. BEIZAMA 79,IND. 1 BELAUNTZA 79,IND. 2 BELAUNTZA 79,IND. 1 BERASTEGI 79,IND. 2 BERASTEGI 79,IND. 1 BERROBI 79,IND. 2 BERROBI 79,IND. BIDEGOIAN  79,IND. ARRANKUDIAGA 79,IND. ELDUAIN 79,IND. 1 ELGETA 79,IND. 2 ELGETA 79,IND. 1 ELGOIBAR 79,IND. 2 ELGOIBAR 79,IND. ESKORIATZA 79,IND. EZKIO-ITSASO 79,IND. GABIRIA 79,IND. GAINTZA 79,IND. GETARIA 79,IND. HERNANI 79,IND. 1 HERNIALADE 79,IND. 2 HERNIAALDE 79,IND. HONDARRIBIA 79,IND. IDIAZABAL 79,IND. IRUN 79,IND. 1 ITSASONDO 79,IND. 2 ITSASONDO 79,IND. LARRAUL 79,IND. LAZKAO 79,IND. 1 LEABURU-G. 79,IND. 2 LEABURU-G. 79,IND. LEGORRETA 79,IND. LEZO 79,IND. LIZARTZA 79,IND. MUTILOA 79,IND. MUTRIKU 79,IND. OLABERRIA 79,IND. OÑATI 79,IND. OREXA 79,IND. OIARTZUN 79,IND. SORALUZE 79,IND. ERREZIL 79,IND. SEGURA 79,IND. URRETXU 79,IND. USURBIL 79,IND. VILLABONA 79,IND. ZALDIBIA 79,IND. ZARAUTZ 79,IND. ZEGAMA 79,IND. ZERAIN 79,IND. ZESTOA 79,IND. 2 EREÑO 79,IND. 2 ZALDIBAR 79
Gipuzkoa,LEZO,,53,2,4109,2098,44,2039,15,2039,2011,776,,,477,,,73,,,,,,,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,566,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,LIZARTZA,,54,3,575,329,,285,44,285,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285,,,,,,,,,,,,,,,,,,,
Bizkaia,MALLABIA,,58,3,895,616,1,611,4,611,279,159,71,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,MARKINA-XEMEIN,,60,4,3931,2819,273,2534,12,2534,1112,1597,,,,,223,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,MARURI-JATABE,,61,4,356,245,3,242,,242,111,182,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,MAÑARIA,,59,3,487,377,10,366,1,366,110,166,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,MENDATA,,62,4,349,201,5,186,,186,148,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,MENDEXA,,63,4,261,191,4,187,,187,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,MEÑAKA,,64,4,371,256,4,252,,252,115,192,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,MOREDA DE ÁLAVA/MOREDA ARABA,,39,2,298,242,5,237,,240,56,,,,,,,,,76,,,,,,,,,,,,,,,,,,,,,,,,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,MORGA,,66,4,335,129,4,115,10,115,206,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,MUNDAKA,,68,4,1240,1069,5,1060,4,1060,171,749,,311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,MUNGIA,,69,4,7312,4299,50,4189,60,4189,3013,2986,124,,,,,120,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,MUNITIBAR-ARBATZEGI GERRIKAITZ-,,7,4,498,383,3,380,,380,115,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,MUSKIZ,,71,2,4622,2969,37,2914,18,2914,1653,1299,445,,256,,,439,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,MUTILOA,,57,3,203,79,,78,1,78,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,
Gipuzkoa,MUTRIKU,,56,4,4221,2887,40,2771,76,2771,1334,1726,114,,,,,,,,,,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,823,,,,,,,,,,,,,,,,,
Bizkaia,MUXIKA,,67,4,1390,1014,9,1004,1,1004,376,640,,364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,NAVARIDAS,,41,2,188,137,9,128,,128,51,,,,,,,,,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,OIARTZUN,,63,2,5294,3916,25,3862,29,3862,1378,1805,147,1589,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281,,,,,,,,,,,,,
Álava,OKONDO,,42,3,605,487,5,482,,482,118,213,,,,,,,,126,,,,,,,,,,,,,,,,,,,,,,,,,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,OLABERRIA,,58,3,980,785,16,766,3,766,195,227,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,458,,,,,,,,,,,,,,,,
Bizkaia,ONDARROA,,73,4,8519,6334,216,6101,17,6101,2185,3356,49,1784,281,,631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ORDIZIA,,76,3,7386,5015,43,4964,8,4964,2371,1238,439,1045,1060,650,77,312,,,,,53,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,OREXA,,60,3,84,72,,72,,72,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,
Gipuzkoa,ORIO,,61,4,2873,2171,64,2082,25,2082,702,931,244,582,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ORMAIZTEGI,,62,3,877,702,,698,4,698,175,385,33,133,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,OROZKO,,75,3,1823,1105,46,1057,2,1057,718,712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ORTUELLA,,83,2,6571,4269,37,4210,22,4210,2302,869,1267,387,452,,,713,,,,,,,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,OTXANDIO,,72,3,961,709,,708,1,708,252,385,,,,,,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,OYÓN-OION,,43,2,1772,1215,5,1204,6,1204,557,,161,,,,,,,606,,,,,,,,,,,,,,,,,,,,,,,,,,179,258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,OÑATI,,59,4,7976,5900,111,5650,139,5650,2076,3136,332,1521,252,,,,,,,,,,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242,,,,,,,,,,,,,,,
Gipuzkoa,PASAIA,,64,2,16259,8818,125,8625,68,8625,7441,2348,1579,3003,1164,,,300,,,,,100,,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,PEÑACERRADA-URIZAHARRA,,44,2,212,121,12,109,,109,91,,,,,,,,,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,PLENTZIA,,77,4,2273,1603,11,1567,25,1567,670,1107,,295,148,,,12,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,PORTUGALETE,,78,2,41590,22169,567,20988,653,20988,19421,6548,6659,3122,1439,,,2821,,,,,0,,399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,RIBERA BAJA/ERRIBERA BEITIA,,47,2,402,348,1,346,1,346,54,,38,,,,,,,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,SAMANIEGO,,52,2,189,147,7,139,1,139,42,64,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,SAN MILLÁN/DONEMILIAGA,,53,2,752,331,6,315,10,315,421,315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,SANTURTZI,,82,2,37588,21934,200,21673,61,21673,15654,5459,5010,4915,1227,,155,1969,,2225,,,279,,434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,SEGURA,,70,3,1021,800,11,787,2,787,221,522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265,,,,,,,,,,
Bizkaia,SESTAO,,84,2,30390,17638,474,16795,369,16795,12752,3995,6265,2650,764,,75,1921,,,,,260,,865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,SOPELA,,85,4,3568,2434,13,2413,8,2413,1134,1162,222,743,,,,75,,,,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,SOPUERTA,,86,2,1649,1386,9,1376,1,1376,263,641,,,,,,89,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,SORALUZE-PLACENCIA DE LAS ARMAS,,65,4,4370,3237,93,3110,34,3110,1133,1504,435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1171,,,,,,,,,,,,
Bizkaia,SUKARRIETA,,76,4,216,155,11,134,,134,61,96,,36,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,TOLOSA,,71,3,14544,8754,197,8502,55,8502,5790,3506,689,1957,1111,478,51,299,,,,,367,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,TRUCIOS-TURTZIOZ,,87,2,443,396,2,393,1,393,47,261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,UBIDE,,88,3,139,132,,132,,132,7,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,UGAO-MIRABALLES,,65,3,3093,2163,39,2119,5,2119,930,906,280,,,,,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,URDULIZ,,89,4,1829,1245,10,1226,9,1226,584,604,116,352,44,,,43,,,,,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,URDUÑA/ORDUÑA,,74,3,3550,2412,28,2346,38,2346,1138,838,,613,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,URKABUSTAIZ,,54,2,665,292,18,240,34,240,373,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
