TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,EA,EB-B,EKA,PH,POSI,UCE,PSE-EE/PSOE,BERDEAK-LV,PLAZANDREOK,LV-GV,ARALAR,ATTKA/PACMA,PUM+J,PFYV,EB / ARALAR,URE-EEB,UPYD,BILDU,H1!,PLIN,PSYV,EB-B/INDAZ,ESKUBI-SQ2/EB-B,IND. AIARA 11,IND. LAUDIO 11,IND. OKONDO 11,IND. VALDEGOVIA 11,IND. ALEGRIA-DUL. 11,IND. ARAMAIO 11,IND. ASPARRENA 11,IND. AÑANA 11,IND. BERANTEVILLA 11,IND. ELCIEGO 11,IND. 1 IRUÑA OKA 11,IND. 2 IRUÑA OKA 11,IND. 1 LABASTIDA 11,IND. 2 LABASTIDA 11,IND. 3 LABASTIDA 11,IND. LAGRAN 11,IND. PEÑACERRADA 11,IND. AGURAIN 11,IND. DONEMILIAGA 11,IND. VITORIA-G. 11,IND. ZALDUONDO 11,IND. ZAMBRANA 11,IND. ZIGOITIA 11,IND. ZUIA 11,IND. BALMASEDA 11,IND. GORDEXOLA 11,IND. KARRANTZA 11,IND. SOPUERTA 11,IND. TURTZIOZ 11,IND. ALONSOTEGI 11,IND. BARRIKA 11,IND. ETXEBARRI 11,IND. GALDAKAO 11,IND. GETXO 11,IND. GORLIZ 11,IND. LAUKIZ 11,IND. 1 MUSKIZ 11,IND. 2 MUSKIZ 11,IND. ORTUELLA 11,IND. PLENTZIA 11,IND. 1 SESTAO 11,IND. 2 SESTAO 11,IND. ZARATAMO 11,IND. ZIERBENA 11,IND. ABADIÑO 11,IND. ARTEA 11,IND. GARAI 11,IND. IGORRE 11,IND. OROZKO 11,IND. UBIDE 11,IND. AMOROTO 11,IND. BERRIATUA 11,IND. ERRIGOITI 11,IND. GATIKA 11,IND. GIZABURUAGA 11,IND. IBARRANGELU 11,IND. ISPASTER 11,IND. MUNGIA 11,IND. MURUETA 11,IND. MUXIKA 11,IND. SUKARRIETA 11,IND. AZKOITIA 11,IND. 1 BEIZAMA 11,IND. 2 BEIZAMA 11,IND. BIDEGOIAN 11,IND. 1 DEBA 11,IND. 2 DEBA 11,IND. ERREZIL 11,IND. EZKIO-ITSASO 11,IND. 1 GABIRIA 11,IND. 2 GABIRIA 11,IND. MUTILOA 11,IND. 1 ORMAIZTEGI 11,IND. 2 ORMAIZTEGI 11,IND. SEGURA 11,IND. ZEGAMA 11,IND. ZERAIN 11,IND. ESKORIATZA 11,IND. ASTIGARRAGA 11 ,IND. LASARTE-ORIA 11,IND. ORIO 11,IND. ABALTZISKETA 11,IND. ALKIZA 11,IND. ALTZAGA 11,IND. AMEZKETA 11,IND. ARAMA 11,IND. 1 ASTEASU 11,IND. 2 ASTEASU 11,IND. ATAUN 11,IND. 1 BELAUNTZA 11,IND. 2 BELAUNTZA 11,IND. BERROBI 11,IND. GAINTZA 11,IND. GAZTELU 11,IND. HERNIALDE 11,IND. IDIAZABAL 11,IND. 1 LARRAUL 11,IND. 2 LARRAUL 11,IND. LEABURU 11,IND. LEGORRETA 11,IND. LIZARTZA 11,IND. 1 OLABERRIA 11,IND. 2 OLABERRIA 11,IND. ORENDAIN 11,IND. ZALDIBIA 11,IND. LEINTZ-GATZ. 11
Bizkaia,PLENTZIA,,77,4,3439,2512,29,2483,32,2451,927,849,113,,,,,,,45,,,,58,,,,,,,531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,PORTUGALETE,,78,2,39898,23930,334,23596,539,23057,15968,5825,3169,,1207,,,,,8526,394,,,364,,167,,,,,3290,,,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,RIBERA BAJA/ERRIBERA BEITIA,,47,2,932,665,28,637,24,613,267,217,166,,,,,,,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,SAMANIEGO,,52,2,238,195,12,183,15,168,43,106,4,,,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,SAN MILLÁN/DONEMILIAGA,,53,2,594,375,,375,5,370,219,97,42,,6,,,,,8,,,,,,,,,,,155,,,,,,,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,SANTURTZI,,82,2,38624,23410,295,23115,406,22709,15214,11220,2143,,860,,,,,4302,,,356,337,,113,,,,,3184,,,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,SEGURA,,70,3,1122,879,8,871,40,831,243,,5,,,,,,,6,,,,,,,,,,,440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,SESTAO,,84,2,23628,14366,238,14128,258,13870,9262,4563,1307,,690,,,,,4059,,,,220,,,,,,,1636,,,479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286,630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,SONDIKA,,904,4,3543,2547,89,2514,89,2425,996,1347,237,,,,,,,240,,,,,,,,,,,601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,SOPELA,,85,4,9933,6360,127,6233,180,6053,3573,2030,427,,261,,,,,594,238,,,252,,,,,,,2251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,SOPUERTA,,86,2,2097,1565,33,1532,28,1504,532,316,21,,17,,,,,38,,,,16,,,,,,,685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,SORALUZE-PLACENCIA DE LAS ARMAS,,65,4,3194,2151,27,2124,50,2074,1043,648,146,,34,,,,,366,,,,,,,,,,,880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,SUKARRIETA,,76,4,298,247,2,246,1,244,51,115,4,,,,,,,2,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,TOLOSA,,71,3,14490,9473,87,9386,143,9243,5017,3629,464,,202,,,,,586,,,,475,,,,,,,3804,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,TRUCIOS-TURTZIOZ,,87,2,465,414,2,412,4,408,51,213,3,,,,,,,5,,,,,,,,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,UBIDE,,88,3,148,124,17,107,4,103,24,31,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,UGAO-MIRABALLES,,65,3,3336,2228,31,2197,32,2165,1108,1198,118,,,,,,,160,,,,,,,,,,,689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,URDULIZ,,89,4,2879,2001,41,1960,62,1898,878,831,119,,95,,,,,147,,,,,,,,,,,706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,URDUÑA/ORDUÑA,,74,3,3394,2559,54,2505,47,2458,835,678,168,,,,,,,156,,,,144,,,,,152,,1160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,URKABUSTAIZ,,54,2,977,725,13,712,30,682,252,291,38,,,,,,,19,,,,,,,,,,,334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,URNIETA,,72,1,4661,2907,64,2843,98,2745,1754,960,132,,,,,,,719,,,,,,,,,,,934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,URRETXU,,77,3,5406,3605,33,3572,68,3504,1801,959,177,,124,,,,,554,,,,191,,,,,,,1201,298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,USURBIL,,73,1,4712,3207,24,3183,53,3130,1505,248,66,,,,,,,217,,,,563,,,,,,,1530,506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,VALDEGOVÍA/GAUBEA,,55,2,929,715,8,707,14,693,214,278,139,,,,,,,29,,,,,,,,,,,93,,,,,,,,,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,VALLE DE TRÁPAGA-TRAPAGARAN,,80,2,10187,6617,89,6528,139,6389,3570,2217,384,,269,,,,,2232,,,,,,,,,,,1216,,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,VILLABONA,,75,3,4472,2776,32,2744,98,2646,1696,654,127,,81,,,,,197,,,,,,,,,,,1587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,VILLABUENA DE ÁLAVA/ESKUERNAGA,,57,2,269,241,1,240,5,235,28,111,9,,,,,,,18,,,,,,,,,,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,VITORIA-GASTEIZ,,59,1,183807,113066,2415,110651,3065,107586,70741,21143,32300,,4916,,,,214,20727,1483,,,2571,550,1056,253,,,2522,19677,,,,,,,,,,,,,,,,,,,,,,,,,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,YÉCORA/IEKORA,,60,2,237,191,19,172,12,160,46,,117,,,,,,,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ZALDIBAR,,95,3,2378,1541,31,1510,30,1480,837,324,124,,,,,,,252,,,,,,,,,,,780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ZALDIBIA,,78,3,1159,890,43,847,44,803,269,,2,,,,,,,12,,,,,,,,,,,574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,
Álava,ZALDUONDO,,61,2,158,135,1,134,6,128,23,70,10,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ZALLA,,96,2,6671,5383,74,5309,70,5239,1288,1632,151,,31,,,,,592,,,,2326,,,,,,,507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ZAMBRANA,,62,2,330,277,1,276,1,275,53,54,54,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ZAMUDIO,,905,4,2616,1862,56,1806,49,1757,754,949,78,,56,,,,,126,,,,,,,,,,,548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ZARATAMO,,97,3,1361,1002,19,983,12,971,359,189,16,,,,,,,49,,,,,,,,,,,271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ZARAUTZ,,79,4,17327,11458,152,11306,218,11088,5869,2832,938,,,,,,,1481,,,,,,,,1040,,,4276,521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ZEANURI,,24,3,1031,866,15,851,10,841,165,416,6,,,,,,,4,,,,,,,,,,,415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ZEBERIO,,25,3,882,697,4,693,7,686,185,329,6,,,,,,,7,,,,,,,,,,,344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ZEGAMA,,25,3,1185,927,11,916,11,905,258,,3,,,,,,,3,,,,124,,,,,,,325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ZERAIN,,26,3,216,164,13,151,7,144,52,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ZESTOA,,27,4,2831,1955,18,1937,12,1925,876,595,13,,,,,,,40,,,,126,,,,,,,1028,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ZIERBENA,,913,2,1214,999,22,977,9,968,215,503,11,,12,,,,,53,,,,,,,,,,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ZIGOITIA,,18,2,1398,965,26,939,16,923,433,138,98,,,,,,,56,,,,,,,,,,,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ZIORTZA - BOLIBAR,,915,4,356,299,1,298,7,291,57,160,0,,,,,,,3,,,,,,,,,,,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ZIZURKIL,,28,3,2173,1357,22,1335,47,1288,816,297,58,,,,,,,125,,,,,,,,,,,808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ZUIA,,63,2,1798,1270,28,1242,32,1210,528,296,136,,,,,,,74,,,,74,,,,,,,338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ZUMAIA,,81,4,7333,4806,43,4763,80,4683,2527,1480,144,,,,,,,512,,,,335,,,,,,,2057,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ZUMARRAGA,,80,3,8102,5342,61,5281,71,5210,2760,1037,325,,164,,,,,2103,,,,261,,,,,,,1320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
