TH,Ámbito,Nota,Cod Municipio,Cod Comarca,Censo,Votantes,Nulos,Válidos,Blancos,Votos Candidatura,Abstención,EAJ-PNV,PP,PH,FE-JONS,PSE-EE/PSOE,ATTKA/PACMA,PUM+J,Cs,EQUO,EB-AZ,O.E.,EH BILDU,VOX,P-LIB,PODEMOS-AHAL DUGU,AHORA AMURRIO/ORAIN ,OMNIA,ABOTSANITZ,GANEMOS,I.N.D.A.Z.,DB-TU,CLI,K.Z.,CMB,PODEMOS-IU-EQUO BERD,SOLIDARIA,IND. ALEGRIA-DUL. 19,IND. BERANTEVILLA 19,IND. KANPEZU 19,IND. ELCIEGO 19,LxE-EaL,IND. LAGUARDIA 19,IND. LAPUEBLA 19,IND. OION 19,IND. PEÑACERRADA 19,IND. 1 RIBERA BAJA 19,IND. 2 RIBERA BAJA 19,IND. DONEMILIAGA 19,IND. ZAMBRANA 19,IND. ZUIA 19,IND. AMURRIO 19,IND. AIARA 19,IND. OKONDO 19,IND. VALDEGOVIA 19,IND. SOPUERTA 19,IND. TURTZIOZ 19,IND. ZALLA 19,IND. ARRIGORRIAGA 19,IND. BARRIKA 19,AHORA ORAIN,Ahora BASAURI Orain,B.I.B.,ACPS,IND. ETXEBARRI 19,IND. 1 GALDAKAO 19,IND. 2 GALDAKAO 19,EzAn-IU,GUK,G.I.GORLIZ,PODEMOS-EQUO,IND. SANTURTZI 19,IND. ZARATAMO 19,IND. ABADIÑO 19,IND. ARTEA 19,IND. DIMA 19,IND. GARAI 19,IND. OROZKO 19,IND. UBIDE 19,IND. AMOROTO 19,IND. BAKIO 19,IND. BERMEO 19,IND. 1 BUSTURIA 19,IND. 2 BUSTURIA 19,IND. FRUIZ 19,IND. GATIKA 19,IND. GIZABURUAGA 19,IND. IBARRANGELU 19,IND. ISPASTER 19,IND. MURUETA 19,IND. SUKARRIETA 19,IND. AZKOITIA 19,IND. BEIZAMA 19,IND. BIDANIA-GOI. 19,IND. DEBA 19,IND. ERREZIL 19,IND. EZKIO-ITSASO 19,IND. GABIRIA 19,IND. MUTILOA 19,IND. ORMAIZTEGI 19,IND. ZEGAMA 19,IND. ZERAIN 19,UCIN,IND. ARRASATE 19,EZKER ANITZA / EQUO ,IND. ESKORIATZA 19,IND. MUTRIKU 19,IND. ORIO 19,IND. ABALTZISKETA 19,IND. ALBIZTUR 19,IND. ALEGIA 19,IND. ALKIZA 19,IND. 1 ALTZAGA 19,IND. 2 ALTZAGA 19,IND. AMEZKETA 19,IND. 1 ARAMA 19,IND. 2 ARAMA 19,IND. ASTEASU 19,IND. BALIARRAIN 19,IND. 1 BELAUNTZA 19,IND. 2 BELAUNTZA 19,IND. BERASTEGI 19,IND. GAINTZA 19,IND. HERNIALDE 19,IND. IDIAZABAL 19,IND. LEABURU 19,IND. OLABERRIA 19,PODEMOS / SQ-2D,G.G.B.,EA-NV / EAJ-PNV,IND. LEINTZ-GATZ. 19,NOA
Bizkaia,URDULIZ,,89,4,3480,2426,35,2391,30,2361,1054,1111,69,,,160,,,,,,,756,,,,,,,,,,,,,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,URDUÑA/ORDUÑA,,74,3,3275,2453,52,2401,34,2367,822,1033,62,,,160,,,,,,,1112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,URKABUSTAIZ,,54,2,1023,789,12,777,28,749,234,339,9,,,28,,,,,,,373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,URNIETA,,72,1,4782,3079,60,3019,56,2963,1703,1501,70,,,483,,,,,71,,838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,URRETXU,,77,3,5268,3704,28,3676,30,3646,1564,1697,56,,,536,,,,,10,,1171,,,,,,,,,,,,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,USURBIL,,73,1,4705,3106,52,3054,117,2937,1599,864,47,,,248,,,,,127,,1651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,VALDEGOVÍA/GAUBEA,,55,2,846,580,5,575,16,559,266,267,60,,,,,,,,,,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,VALLE DE TRÁPAGA-TRAPAGARAN,,80,2,9954,6679,71,6608,77,6531,3275,2486,202,,,1893,,,,,,,1391,,,,,,,,,,,,,559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,VILLABONA,,75,3,4351,2990,22,2968,45,2923,1361,1058,,,,199,,,,,,,1517,,,,,,,,,,,,,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,VILLABUENA DE ÁLAVA/ESKUERNAGA,,57,2,242,218,1,217,,217,24,125,2,,,4,,,,,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,VITORIA-GASTEIZ,,59,1,190346,120385,947,119438,824,118614,69961,28241,22096,,,25524,,348,3041,,289,110,24529,1704,,,,,,,,,,,,11774,,,,,,958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,YÉCORA/IEKORA,,60,2,211,177,3,174,9,165,34,126,30,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ZALDIBAR,,95,3,2335,1560,43,1517,48,1469,775,518,53,,,251,,,,,,,647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ZALDIBIA,,78,3,1141,861,28,833,47,786,280,263,,,,5,,,,,,,518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ZALDUONDO,,61,2,153,131,4,127,2,125,22,20,1,,,3,,,,,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ZALLA,,96,2,6571,5127,70,5057,28,5029,1444,2106,40,,,352,,,,,,,444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ZAMBRANA,,62,2,320,263,,263,3,260,57,60,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ZAMUDIO,,905,4,2499,1819,29,1790,17,1773,680,982,26,,,98,,,,,,,579,,,,,,,,,,,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ZARATAMO,,97,3,1313,940,9,931,9,922,373,312,6,,,40,,,,,,,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ZARAUTZ,,79,4,18202,12796,125,12671,143,12528,5406,5757,368,,,1182,,,,,,,4546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ZEANURI,,24,3,1007,813,14,799,15,784,194,410,2,,,6,,,,,,,366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ZEBERIO,,25,3,858,714,9,705,12,693,144,395,2,,,3,,,,,,,293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ZEGAMA,,25,3,1127,894,12,882,7,875,233,,,,,4,,,,,,,397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ZERAIN,,26,3,208,198,1,197,3,194,10,,,,,,,,,,,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ZESTOA,,27,4,2763,1975,33,1942,30,1912,788,793,,,,36,,,,,,,1083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ZIERBENA,,913,2,1228,903,19,884,9,875,325,505,11,,,69,,,,,,,290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ZIGOITIA,,18,2,1409,922,23,899,36,863,487,321,58,,,88,,,,,,,396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bizkaia,ZIORTZA - BOLIBAR,,915,4,347,263,1,262,1,261,84,97,,,,,,,,,,,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ZIZURKIL,,28,3,2258,1527,13,1514,29,1485,731,393,,,,267,,,,,,,825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álava,ZUIA,,63,2,1842,1324,12,1312,21,1291,518,,105,,,99,,,,,,,617,,,,,,,,,,,,,,,,,,,,,,,,,,,,470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ZUMAIA,,81,4,7695,5400,45,5355,83,5272,2295,2053,,,,511,,,,,,,2627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,ZUMARRAGA,,80,3,7730,5198,32,5166,62,5104,2532,912,115,,,2515,,,,,,,1241,,,,,,,,,,,,,321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
